"Blood","Skin","Brain","Testis","Adipose Tissue","Muscle","Nerve","Blood Vessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","Adrenal Gland","Colon","Prostate","Spleen","Liver","Fallopian Tube","Ovary","Breast","Bladder","Cervix Uteri","Small Intestine","Salivary Gland"
"alprazolam:84",0.0398361010000037,10,9.99999999999999,5.31765294,10,0.953707158999996,10,8.739851952,7.61603117,10,8.16961765000001,4.7823081,9.99999999999999,10,10,7.055880547,10,2.439117908,3.30552125,7.014136076,10,9.46431636800001,2.251888156,9.87030697,6.177269936,10,10,10,10,10
"pentoxifylline:87",3.974747896,9.68792915300001,10,10,9.54545021,5.087971687,10,10,3.79524899,7.692492485,10,3.51964605,10,4.50050902399999,9.99999999999999,4.368881702,10,7.491747379,3.10833991,8.504857063,10,7.171571016,8.393280983,10,10,10,9.37580490100001,10,7.262582779,6.40662241
"Clofarabine:88",2.557205439,10,6.04993772999999,10,10,10,9.59178495,10,6.27453423,8.821902275,10,4.48226309,7.255313396,8.14350843399999,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,7.574364901,3.06882298,8.30090404,9.692745209,10,10,10,8.224434853,10
"didanosine:91",10,5.093683004,2.08123899000001,1.95297884999999,6.61434889,0.496573030999998,3.10679924,2.984349966,1.80962527,7.619907379,4.15956879,10,3.736496449,4.00388503100001,2.701881647,2.144414425,9.083802223,8.014983177,3.21011817,8.966282368,2.336450458,8.905005455,5.12715220499999,4.79608107000001,0.758812188999997,5.145497322,3.699792385,2.04140305500001,7.881886005,5.538740158
"Pentostatin:92",5.721350193,4.86571001999999,1.44565940000001,2.95110142,8.89361382,1.465355873,3.21572447,2.078267336,4.46566248,3.874390602,4.17644739,1.79107499,4.096933603,1.037210703,2.77078926600001,1.712350488,3.525266647,10,3.87512743,2.389257073,3.01473856,10,1.293206275,4.28163719,1.260357857,4.86991929999999,2.315318823,3.437232494,4.024053097,3.811421871
"Galantamine:93",1.46821141200001,2.68707418399999,10,4.51794003999999,2.66598749,10,3.00766599,2.32157611799999,3.67912984,3.62605238,5.88380717999999,4.229002,7.33838033700001,10,6.599007607,4.837110519,3.368801117,1.978335381,10,4.312083483,6.240046263,4.03442931200001,10,10,2.201324463,3.12505710100001,2.28329467799999,6.333235741,4.156428337,4.454800129
"Rivastigmine:94",0.732271254000006,1.06814074499999,10,3.61620747999999,0.614776730000005,7.819921017,0.389408780000002,0.333128482,0.735573650000001,3.62605238,5.88380717999999,1.86537915,0.766010880000009,5.354573965,6.599007607,1.134945989,1.764389098,0.504009545,0.686827510000006,4.312083483,4.219288111,2.052807093,10,10,2.201324463,1.124231815,1.970343351,6.33323574099999,4.156428337,3.473966599
"Domperidone:97",0.00785051800000325,0.067573930999993,0.828758960000001,0.774569299999994,0.092959849999998,0.120648146000002,1.24304396,0.0563070139999997,0.0174490000000036,0.0362639459999983,0.10777533,0.0459560100000025,0.0232904469999955,10,0.304680526000002,0.0430054440000038,0.258125238000002,0.0386197640000017,0.0567827599999968,0.101115140999997,0.390641882999999,0.0131596420000024,0.00536650000000449,0.249922399999999,0.0762749089999994,0.688240379000003,0.0854959410000014,0.191675230999997,0.111094235999994,6.041281223
"sorafenib:98",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Hydroxychloroquine:99",0.726008891999999,0.0112279519999943,0.316364020000003,0.0761083099999995,0.226819220000002,0.0155283410000004,0.251420649999998,0.161087111000004,0.0340052200000001,0.387756227999998,0.0820742899999996,0.053015889999998,0.0847031210000013,0.0900842920000011,0.0629775000000006,0.0555763690000002,0.0817201250000039,0.0852665749999999,0.193252379999999,0.197174451999998,0.209889412000001,1.017304301,0.0314342450000025,0.0778571600000024,0.0617481359999994,0.184285648000001,0.194226325000002,0.0659152719999998,0.47960183,0.227978199999999
"bortezomib:107",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"varenicline:108",0.0813373919999996,0.0815543869999962,2.18804765,2.01131225,0.264109760000002,0.096088900999999,0.448125750000005,0.253420830000005,0.223117650000002,0.379388749999994,0.196961889999997,1.29179081,1.455012619,1.558007956,0.302589356999998,0.697217940999999,0.353876829,1.330839872,0.179359749999998,1.77881163399999,0.747715324000001,0.809225528999997,10,0.27080935,0.814338088,0.324704557999994,0.756506622000002,0.406450152,1.26131618,0.274607091999999
"minocycline:111",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Indomethacin:112",8.444705963,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Gemcitabine:116",8.973579407,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Capecitabine:117",4.467746258,10,3.35583401,10,2.4232533,0.495607256999998,2.55456197,2.701006889,1.44377244000001,4.94026851699999,4.98864698,6.84385276,4.103782654,3.765854359,2.751442552,3.056950331,6.516115427,3.616623163,4.0807724,10,5.004799843,10,2.107688427,2.24457437,3.067645073,4.033158541,3.341159821,3.672201633,9.63755703,7.718729019
"Vorinostat:118",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Nilotinib:119",2.627729893,10,9.99999999999999,10,10,9.213248253,10,10,10,10,10,10,10,10,10,8.928268433,10,10,10,10,10,10,5.700903177,10,10,10,10,10,10,10
"warfarin:124",0.238178446999999,0.536906897999995,0.275855090000001,0.318254049999998,0.326446499999998,0.0674162129999969,0.45212159,0.505916297000001,0.140974329999997,0.435193180999997,0.250697999999999,0.357962999999997,0.315011754999996,0.537360429999999,0.389929055999997,0.391856014999998,0.355813234999999,0.293412387,0.285009189999998,0.290727927999997,0.282972574,0.368950992999994,0.988317043000001,0.426424519999999,0.430045933,0.356780617999995,0.478249340999999,0.500221908,0.492640464999997,0.357383667999999
"Tramadol:128",0.0842119009999998,0.103767856999993,1.59231293,2.97342455,0.268325089999999,0.0372003909999927,0.286698219999999,0.136373267000003,0.115082540000008,10,0.345034479999998,0.132184699999995,0.421316980999999,0.119527346999998,0.189510754999997,0.493829696999999,0.153300903999996,0.513489543999998,0.11905772,0.246608033999999,0.197472565,0.294659450999997,0.0977419989999957,0.149731590000005,0.225144267000003,0.355366110999999,0.615335463999996,0.176632389000001,1.802167773,0.459298759999998
"Vorinostat:129",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"cabazitaxel:131",10,10,10,10,2.09061623,10,1.6202209,5.525468349,9.99999999999999,5.492965698,10,5.60884023,2.53868925600001,4.797114134,2.37081384700001,2.097118616,10,6.90339613,5.48237681,8.037258625,4.278552294,10,3.35094142,3.48897684,2.341186523,2.932049274,5.741491795,2.371202946,7.497985363,7.349394798
"ixabepilone:132",0.0109676740000011,0.454929261999996,1.59112644,2.74003458,0.0633065600000027,0.00835967199999876,0.115973440000002,0.0471939030000046,0.0646800800000005,0.103264234999999,0.0917779199999966,0.16465315,0.0865548510000016,2.773865461,0.0699831400000006,0.0367009859999987,0.0652728830000004,0.0911164209999993,0.487491029999997,0.135855145999997,0.0637846999999994,0.0499490419999953,0,0.0532330500000011,0.070917256000004,0.0433343950000005,0.0418446179999989,0.0439100119999978,0.150069698999998,0.323605149999998
"Clofarabine:134",2.557205439,10,6.04993772999999,10,10,10,9.59178495,10,6.27453423,8.821902275,10,4.48226309,7.255313396,8.14350843399999,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,7.574364901,3.06882298,8.30090404,9.692745209,10,10,10,8.224434853,10
"lenalidomide:135",1.025086284,3.119722009,3.70113111,6.34493876,10,6.338674545,9.99999999999999,5.99543476099999,10,10,8.04398346,6.52386403,10,3.730526328,10,2.426759005,7.769799709,5.509750366,7.04789162000001,5.064837933,6.805960655,9.95505094500001,2.707627892,10,3.104855776,10,7.278105736,10,8.76734924300001,5.800363541
"temsirolimus:137",1.981466413,5.861584663,6.42243242,10,6.05699635,7.712878227,7.45222783,6.070045948,5.28152466,6.405892849,6.78196192,6.11778879,7.618876696,8.47441339499999,6.986742496,3.826494932,5.339693785,6.364003658,6.89323044,7.138198614,7.709730387,6.564596176,4.559212923,6.4558928,5.201941967,6.678822041,6.915325165,5.599118233,7.502036095,5.954916954
"Lenalidomide:139",1.025086284,3.119722009,3.70113111,6.34493876,10,6.338674545,9.99999999999999,5.99543476099999,10,10,8.04398346,6.52386403,10,3.730526328,10,2.426759005,7.769799709,5.509750366,7.04789162000001,5.064837933,6.805960655,9.95505094500001,2.707627892,10,3.104855776,10,7.278105736,10,8.76734924300001,5.800363541
"Dronedarone:140",1.579659462,5.01574587800001,9.99999999999999,10,10,10,8.15998553999999,10,10,7.986379623,8.7147541,10,6.017980099,10,10,10,10,3.671730042,10,9.502849579,10,10,7.432229042,9.99999999999999,10,10,8.242862701,10,6.593607426,5.810112476
"Pioglitazone:141",0.854906141999999,4.442565918,0.943804919999998,3.31889892,10,1.05971097899999,6.17432046,1.886435509,3.37892389,7.83619976,1.74451411,4.52354693,7.77050137499999,0.199517853999997,3.20663619000001,0.666075348999998,3.555224061,6.381391048,1.50120014,10,2.505087972,5.545911312,2.257158637,3.09982061000001,6.883687496,10,10,4.945686817,4.521011353,2.260562897
"Nilotinib:142",2.627729893,10,9.99999999999999,10,10,9.213248253,10,10,10,10,10,10,10,10,10,8.928268433,10,10,10,10,10,10,5.700903177,10,10,10,10,10,10,10
"Paclitaxel:143",3.259106874,10,9.99999999999999,10,9.99999999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Sildenafil:144",1.551487684,1.562446892,1.00884831000001,3.72552347,6.32443428,1.37352895699999,5.90266562,10,1.44966769,7.692492485,10,0.865481529999995,6.609258652,1.92699193999999,4.250099659,3.093797684,7.628414392,2.468187809,2.32873952,7.926607609,10,4.674966812,0.371060698999996,9.19809055,2.123184443,5.730087042,5.362633705,8.618778229,4.781298161,2.135089874
